Event	Block	Trial	StimNum	WordNum	StimulusName	Time
GrandStart					---	8040.9656	
BlockStart	1	0	0		-	8040.975	
Fix	1	1	0		+	8041.8473
StimVisualOn	1	1	1	1	he	8042.5139
StimVisualOff	1	1	1	1		8042.7801
StimVisualOn	1	1	1	2	smiles	8043.0462
StimVisualOff	1	1	1	2		8043.3171
Fix	1	2	0		+	8044.5792
StimVisualOn	1	2	2	1	who	8045.2186
StimVisualOff	1	2	2	1		8045.4798
StimVisualOn	1	2	2	2	hugs	8045.7475
StimVisualOff	1	2	2	2		8046.0164
StimVisualOn	1	2	2	3	the	8046.2837
StimVisualOff	1	2	2	3		8046.5476
StimVisualOn	1	2	2	4	friend?	8046.8152
StimVisualOff	1	2	2	4		8047.0815
Fix	1	3	0		+	8048.348
StimVisualOn	1	3	3	1	Which	8048.9813
StimVisualOff	1	3	3	1		8049.2519
StimVisualOn	1	3	3	2	man	8049.5149
StimVisualOff	1	3	3	2		8049.7854
StimVisualOn	1	3	3	3	did	8050.047
StimVisualOff	1	3	3	3		8050.3158
StimVisualOn	1	3	3	4	they	8050.5834
StimVisualOff	1	3	3	4		8050.8498
StimVisualOn	1	3	3	5	hear?	8051.1178
StimVisualOff	1	3	3	5		8051.3841
Fix	1	4	0		+	8052.649
StimVisualOn	1	4	4	1	The	8053.282
StimVisualOff	1	4	4	1		8053.5488
StimVisualOn	1	4	4	2	cook	8053.8157
StimVisualOff	1	4	4	2		8054.0823
StimVisualOn	1	4	4	3	prepared	8054.3505
StimVisualOff	1	4	4	3		8054.6193
StimVisualOn	1	4	4	4	the	8054.8809
StimVisualOff	1	4	4	4		8055.1498
StimVisualOn	1	4	4	5	meal	8055.4155
StimVisualOff	1	4	4	5		8055.6812
Fix	1	5	0		+	8056.9497
KeyPress	1	5	5			8054.1725	
StimVisualOn	1	5	5	1	he	8057.5853
StimVisualOff	1	5	5	1		8057.8492
KeyPress	1	5	5			8054.1725	
StimVisualOn	1	5	5	2	showered	8058.1172
StimVisualOff	1	5	5	2		8058.3844
BlockStart	2	0	0		-	8060.871	
Fix	2	1	0		+	8061.7317
StimAudioOn	2	1	2		2.wav	8062.4712
StimAudioOff	2	1	2			8063.8931
Fix	2	2	0		+	8064.9015
StimAudioOn	2	2	4		4.wav	8065.5232
StimAudioOff	2	2	4			8066.5798
KeyPress	2	2	4			8061.9406	
