Event	Block	Trial	StimNum	WordNum	StimulusName	Time
GrandStart					---	5401.7354	
BlockStart	1	0	0		-	5401.745	
Fix	1	1	0		+	5402.6365
StimVisualOn	1	1	3	1	Which	5403.3005
StimVisualOff	1	1	3	1		5403.5704
StimVisualOn	1	1	3	2	man	5403.8361
StimVisualOff	1	1	3	2		5404.1039
StimVisualOn	1	1	3	3	did	5404.3704
StimVisualOff	1	1	3	3		5404.6371
StimVisualOn	1	1	3	4	they	5404.9043
StimVisualOff	1	1	3	4		5405.1703
StimVisualOn	1	1	3	5	hear?	5405.437
StimVisualOff	1	1	3	5		5405.7036
Fix	1	2	0		+	5406.9677
StimVisualOn	1	2	5	1	he	5407.605
StimVisualOff	1	2	5	1		5407.8713
StimVisualOn	1	2	5	2	showered	5408.1395
StimVisualOff	1	2	5	2		5408.4039
Fix	1	3	0		+	5409.6692
StimVisualOn	1	3	2	1	who	5410.3055
StimVisualOff	1	3	2	1		5410.5717
StimVisualOn	1	3	2	2	hugs	5410.8368
StimVisualOff	1	3	2	2		5411.1044
StimVisualOn	1	3	2	3	the	5411.3721
StimVisualOff	1	3	2	3		5411.6384
StimVisualOn	1	3	2	4	friend?	5411.9068
StimVisualOff	1	3	2	4		5412.172
Fix	1	4	0		+	5413.4367
StimVisualOn	1	4	1	1	he	5414.0721
StimVisualOff	1	4	1	1		5414.3383
StimVisualOn	1	4	1	2	smiles	5414.6057
StimVisualOff	1	4	1	2		5414.8725
Fix	1	5	0		+	5416.1379
StimVisualOn	1	5	4	1	The	5416.7724
StimVisualOff	1	5	4	1		5417.0393
StimVisualOn	1	5	4	2	cook	5417.3058
StimVisualOff	1	5	4	2		5417.5725
StimVisualOn	1	5	4	3	prepared	5417.8394
StimVisualOff	1	5	4	3		5418.1056
StimVisualOn	1	5	4	4	the	5418.3732
StimVisualOff	1	5	4	4		5418.6396
StimVisualOn	1	5	4	5	meal	5418.9058
StimVisualOff	1	5	4	5		5419.1733
BlockStart	2	0	0		-	5429.8865	
Fix	2	1	0		+	5430.7581
StimAudioOn	2	1	1		1.wav	5431.4988
StimAudioOff	2	1	1			5432.3738
Fix	2	2	0		+	5433.3919
StimAudioOn	2	2	5		5.wav	5434.0138
StimAudioOff	2	2	5			5435.4767
