Event	Block	Trial	StimNum	WordNum	StimulusName	Time
StimVisualOff	3	1	5	2		5069.7652
Fix	3	2	0		+	5071.031
StimVisualOn	3	2	1	1	he	5071.6653
StimVisualOff	3	2	1	1		5071.9319
StimVisualOn	3	2	1	2	smiles	5072.1982
StimVisualOff	3	2	1	2		5072.4647
Fix	3	3	0		+	5073.7297
StimVisualOn	3	3	2	1	who	5074.3662
StimVisualOff	3	3	2	1		5074.6324
StimVisualOn	3	3	2	2	hugs	5074.8993
StimVisualOff	3	3	2	2		5075.1656
StimVisualOn	3	3	2	3	the	5075.4336
StimVisualOff	3	3	2	3		5075.6986
StimVisualOn	3	3	2	4	friend?	5075.9667
StimVisualOff	3	3	2	4		5076.2331
Fix	3	4	0		+	5077.4974
StimVisualOn	3	4	4	1	The	5078.134
StimVisualOff	3	4	4	1		5078.3988
StimVisualOn	3	4	4	2	cook	5078.6675
StimVisualOff	3	4	4	2		5078.9328
StimVisualOn	3	4	4	3	prepared	5079.197
StimVisualOff	3	4	4	3		5079.4678
StimVisualOn	3	4	4	4	the	5079.7327
StimVisualOff	3	4	4	4		5080.0007
StimVisualOn	3	4	4	5	meal	5080.2648
StimVisualOff	3	4	4	5		5080.5342
Fix	3	5	0		+	5081.7987
StimVisualOn	3	5	3	1	Which	5082.4325
StimVisualOff	3	5	3	1		5082.7007
StimVisualOn	3	5	3	2	man	5082.9662
StimVisualOff	3	5	3	2		5083.2341
StimVisualOn	3	5	3	3	did	5083.5012
StimVisualOff	3	5	3	3		5083.7664
StimVisualOn	3	5	3	4	they	5084.0354
StimVisualOff	3	5	3	4		5084.3011
StimVisualOn	3	5	3	5	hear?	5084.5678
StimVisualOff	3	5	3	5		5084.8334
BlockStart	4	0	0		-	5089.4232	
Fix	4	1	0		+	5090.2837
StimAudioOn	4	1	4		4.wav	5090.9082
StimAudioOff	4	1	4			5091.9648
Fix	4	2	0		+	5092.9854
StimAudioOn	4	2	1		1.wav	5093.6075
StimAudioOff	4	2	1			5094.4825
Fix	4	3	0		+	5095.5017
StimAudioOn	4	3	2		2.wav	5096.1254
StimAudioOff	4	3	2			5097.5473
Fix	4	4	0		+	5098.5712
StimAudioOn	4	4	5		5.wav	5099.1933
StimAudioOff	4	4	5			5100.6562
Fix	4	5	0		+	5101.6703
StimAudioOn	4	5	3		3.wav	5102.2932
StimAudioOff	4	5	3			5103.7854
BlockStart	5	0	0		-	5109.3101	
Fix	5	1	0		+	5110.1899
StimVisualOn	5	1	1	1	he	5110.8198
StimVisualOff	5	1	1	1		5111.0889
StimVisualOn	5	1	1	2	smiles	5111.3562
StimVisualOff	5	1	1	2		5111.6215
Fix	5	2	0		+	5112.8864
StimVisualOn	5	2	5	1	he	5113.52
StimVisualOff	5	2	5	1		5113.7902
StimVisualOn	5	2	5	2	showered	5114.0542
StimVisualOff	5	2	5	2		5114.3237
Fix	5	3	0		+	5115.5857
StimVisualOn	5	3	4	1	The	5116.2244
StimVisualOff	5	3	4	1		5116.4893
StimVisualOn	5	3	4	2	cook	5116.7564
StimVisualOff	5	3	4	2		5117.0223
StimVisualOn	5	3	4	3	prepared	5117.2869
StimVisualOff	5	3	4	3		5117.5552
StimVisualOn	5	3	4	4	the	5117.8221
StimVisualOff	5	3	4	4		5118.0892
StimVisualOn	5	3	4	5	meal	5118.3568
StimVisualOff	5	3	4	5		5118.6229
Fix	5	4	0		+	5119.8858
StimVisualOn	5	4	3	1	Which	5120.5195
StimVisualOff	5	4	3	1		5120.791
StimVisualOn	5	4	3	2	man	5121.0537
StimVisualOff	5	4	3	2		5121.3234
StimVisualOn	5	4	3	3	did	5121.5894
StimVisualOff	5	4	3	3		5121.8565
StimVisualOn	5	4	3	4	they	5122.1237
StimVisualOff	5	4	3	4		5122.3901
StimVisualOn	5	4	3	5	hear?	5122.6584
StimVisualOff	5	4	3	5		5122.9231
Fix	5	5	0		+	5124.1873
StimVisualOn	5	5	2	1	who	5124.8246
StimVisualOff	5	5	2	1		5125.0899
StimVisualOn	5	5	2	2	hugs	5125.3591
StimVisualOff	5	5	2	2		5125.6232
StimVisualOn	5	5	2	3	the	5125.8898
StimVisualOff	5	5	2	3		5126.1582
StimVisualOn	5	5	2	4	friend?	5126.423
StimVisualOff	5	5	2	4		5126.6919
BlockStart	6	0	0		-	5151.8392	
Fix	6	1	0		+	5152.7115
StimAudioOn	6	1	2		2.wav	5153.3351
StimAudioOff	6	1	2			5154.757
Fix	6	2	0		+	5155.7791
StimAudioOn	6	2	4		4.wav	5156.403
StimAudioOff	6	2	4			5157.4597
Fix	6	3	0		+	5158.4786
StimAudioOn	6	3	1		1.wav	5159.1023
StimAudioOff	6	3	1			5159.9773
Fix	6	4	0		+	5160.9964
StimAudioOn	6	4	5		5.wav	5161.6188
StimAudioOff	6	4	5			5163.0817
Fix	6	5	0		+	5164.0979
StimAudioOn	6	5	3		3.wav	5164.7187
StimAudioOff	6	5	3			5166.2109
