Event	Block	Trial	StimNum	WordNum	StimulusName	Time
GrandStart					---	5026.544	
BlockStart	1	0	0		-	5028.0872	
Fix	1	1	0		+	5028.9754
StimVisualOn	1	1	4	1	The	5029.6078
StimVisualOff	1	1	4	1		5029.8756
StimVisualOn	1	1	4	2	cook	5030.1428
StimVisualOff	1	1	4	2		5030.4092
StimVisualOn	1	1	4	3	prepared	5030.6754
StimVisualOff	1	1	4	3		5030.9423
StimVisualOn	1	1	4	4	the	5031.2095
StimVisualOff	1	1	4	4		5031.4761
StimVisualOn	1	1	4	5	meal	5031.7434
StimVisualOff	1	1	4	5		5032.0094
Fix	1	2	0		+	5033.274
StimVisualOn	1	2	1	1	he	5033.9103
StimVisualOff	1	2	1	1		5034.1771
StimVisualOn	1	2	1	2	smiles	5034.4434
StimVisualOff	1	2	1	2		5034.7098
Fix	1	3	0		+	5035.9736
StimVisualOn	1	3	2	1	who	5036.6097
StimVisualOff	1	3	2	1		5036.8754
StimVisualOn	1	3	2	2	hugs	5037.1434
StimVisualOff	1	3	2	2		5037.4089
StimVisualOn	1	3	2	3	the	5037.6776
StimVisualOff	1	3	2	3		5037.9445
StimVisualOn	1	3	2	4	friend?	5038.2129
StimVisualOff	1	3	2	4		5038.4781
Fix	1	4	0		+	5039.7421
StimVisualOn	1	4	3	1	Which	5040.3781
StimVisualOff	1	4	3	1		5040.6448
StimVisualOn	1	4	3	2	man	5040.911
StimVisualOff	1	4	3	2		5041.1764
StimVisualOn	1	4	3	3	did	5041.4448
StimVisualOff	1	4	3	3		5041.7115
StimVisualOn	1	4	3	4	they	5041.9783
StimVisualOff	1	4	3	4		5042.2451
StimVisualOn	1	4	3	5	hear?	5042.5109
StimVisualOff	1	4	3	5		5042.778
Fix	1	5	0		+	5044.0415
StimVisualOn	1	5	5	1	he	5044.6785
StimVisualOff	1	5	5	1		5044.9452
StimVisualOn	1	5	5	2	showered	5045.2106
StimVisualOff	1	5	5	2		5045.4788
BlockStart	2	0	0		-	5048.5433	
Fix	2	1	0		+	5049.4083
StimAudioOn	2	1	1		1.wav	5050.1557
StimAudioOff	2	1	1			5051.0307
Fix	2	2	0		+	5052.0451
StimAudioOn	2	2	3		3.wav	5052.6692
StimAudioOff	2	2	3			5054.1614
Fix	2	3	0		+	5055.1803
StimAudioOn	2	3	2		2.wav	5055.8025
StimAudioOff	2	3	2			5057.2243
Fix	2	4	0		+	5058.2466
StimAudioOn	2	4	5		5.wav	5058.869
StimAudioOff	2	4	5			5060.3319
Fix	2	5	0		+	5061.3478
StimAudioOn	2	5	4		4.wav	5061.9688
StimAudioOff	2	5	4			5063.0255
BlockStart	3	0	0		-	5067.462	
Fix	3	1	0		+	5068.3289
StimVisualOn	3	1	5	1	he	5068.9648
StimVisualOff	3	1	5	1		5069.2312
StimVisualOn	3	1	5	2	showered	5069.4983
