Event	Block	Trial	StimNum	WordNum	StimulusName	Time
StimAudioOff	4	2	2			3624.5902
Fix	4	3	0		+	3625.6138
StimAudioOn	4	3	1		1.wav	3626.2362
StimAudioOff	4	3	1			3627.1112
Fix	4	4	0		+	3628.1308
StimAudioOn	4	4	3		3.wav	3628.7541
StimAudioOff	4	4	3			3630.2463
Fix	4	5	0		+	3631.265
StimAudioOn	4	5	4		4.wav	3631.8874
StimAudioOff	4	5	4			3632.944
BlockStart	5	0	0		-	3635.4074	
Fix	5	1	0		+	3636.2787
StimVisualOn	5	1	4	1	The	3636.9126
StimVisualOff	5	1	4	1		3637.1825
KeyPress	5	1	4			3637.2086	
StimVisualOn	5	1	4	2	cook	3637.4478
StimVisualOff	5	1	4	2		3637.7147
KeyPress	5	1	4			3637.7399	
StimVisualOn	5	1	4	3	prepared	3637.983
StimVisualOff	5	1	4	3		3638.2489
KeyPress	5	1	4			3638.2744	
StimVisualOn	5	1	4	4	the	3638.5131
StimVisualOff	5	1	4	4		3638.7812
KeyPress	5	1	4			3638.8066	
StimVisualOn	5	1	4	5	meal	3639.0488
StimVisualOff	5	1	4	5		3639.3159
KeyPress	5	1	4			3639.342	
Fix	5	2	0		+	3640.5799
StimVisualOn	5	2	5	1	he	3641.2151
StimVisualOff	5	2	5	1		3641.483
KeyPress	5	2	5			3641.5088	
StimVisualOn	5	2	5	2	showered	3641.7486
StimVisualOff	5	2	5	2		3642.0171
KeyPress	5	2	5			3642.0428	
Fix	5	3	0		+	3643.2798
StimVisualOn	5	3	2	1	who	3643.9165
StimVisualOff	5	3	2	1		3644.1819
StimVisualOn	5	3	2	2	hugs	3644.4493
StimVisualOff	5	3	2	2		3644.7156
StimVisualOn	5	3	2	3	the	3644.9823
StimVisualOff	5	3	2	3		3645.2507
StimVisualOn	5	3	2	4	friend?	3645.5141
StimVisualOff	5	3	2	4		3645.7841
Fix	5	4	0		+	3647.0472
StimVisualOn	5	4	3	1	Which	3647.6834
StimVisualOff	5	4	3	1		3647.9493
StimVisualOn	5	4	3	2	man	3648.2173
StimVisualOff	5	4	3	2		3648.4827
StimVisualOn	5	4	3	3	did	3648.7513
StimVisualOff	5	4	3	3		3649.0177
StimVisualOn	5	4	3	4	they	3649.2833
StimVisualOff	5	4	3	4		3649.5506
StimVisualOn	5	4	3	5	hear?	3649.8174
StimVisualOff	5	4	3	5		3650.085
Fix	5	5	0		+	3651.3485
StimVisualOn	5	5	1	1	he	3651.9855
StimVisualOff	5	5	1	1		3652.2505
StimVisualOn	5	5	1	2	smiles	3652.5144
StimVisualOff	5	5	1	2		3652.7843
BlockStart	6	0	0		-	3654.6392	
Fix	6	1	0		+	3655.5038
StimAudioOn	6	1	4		4.wav	3656.1232
StimAudioOff	6	1	4			3657.1799
KeyPress	6	1	4			3657.2013	
Fix	6	2	0		+	3658.2015
StimAudioOn	6	2	5		5.wav	3658.8211
StimAudioOff	6	2	5			3660.284
Fix	6	3	0		+	3661.303
StimAudioOn	6	3	3		3.wav	3661.9253
StimAudioOff	6	3	3			3663.4175
Fix	6	4	0		+	3664.4362
StimAudioOn	6	4	2		2.wav	3665.06
StimAudioOff	6	4	2			3666.4819
Fix	6	5	0		+	3667.5031
StimAudioOn	6	5	1		1.wav	3668.1251
StimAudioOff	6	5	1			3669.0001
